scraped_at,carpark_id,name,guest_available,guest_available_display,guest_total,monthly_available,monthly_is_full,monthly_total,total,total_available,last_update
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000012a,World Trade Centre,10,10+,152,1,False,1,153,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000d8,8 Commercial Tower,10,10+,106,56,False,56,162,66,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000ff,New Mandarin Plaza,10,10+,137,14,False,14,151,24,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000119,The Sun Arcade,10,10+,120,30,False,30,150,40,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000103,Sunway Gardens,10,10+,511,27,False,27,538,37,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000f8,Chinachem Tsuen Wan Plaza,10,10+,59,9,False,9,68,19,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000121,Fu Shing Building,10,10+,305,21,False,21,326,31,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000010a,Fortune Plaza,10,10+,133,9,False,9,142,19,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000007d,Chi Fu Landmark,10,10+,334,551,False,551,885,561,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000124,Kwai Sing Centre,10,10+,137,1,False,1,138,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000011d,Ho Shun Tai Building,10,10+,108,15,False,15,123,25,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000102,Peninsula Square,10,10+,270,18,False,18,288,28,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000118,YOHO PLUS,10,10+,857,38,False,38,895,48,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000011c,Chinachem Golden Plaza,10,10+,189,7,False,7,196,17,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000122,Viking Gardens,10,10+,50,6,False,6,56,16,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000011e,Shun Fook Barn Car Park,10,10+,316,10,False,10,326,20,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000dc,Concord Square,10,10+,107,0,True,0,107,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000019e,New Commerce Centre,10,10+,22,0,True,0,22,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000196,International Trade Centre,10,10+,52,6,False,6,58,16,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000d7,Tak Bo Garden,10,10+,215,13,False,13,228,23,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000019d,Honour Industrial Centre,10,10+,32,4,False,4,36,14,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000c2,Sun Kwai Hing Plaza,10,10+,170,0,True,0,170,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000129,Star Ferry Car Park,10,10+,320,0,True,0,320,10,2026-02-22T16:12:34Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000128,City Hall Car Park,10,10+,130,0,True,0,130,10,2026-02-22T16:12:40Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000127,Kwai Fong Car Park,10,10+,180,0,True,0,180,10,2026-02-22T16:12:39Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000191,Marina 8,10,10+,51,1,False,1,52,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000001b,New Town Mansion,10,10+,114,5,False,5,119,15,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000c8,Admiralty Car Park,10,10+,510,16,False,16,526,26,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000b4,Botania Villa,7,7,54,0,True,0,54,7,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000f5,Hop Yick Plaza,10,10+,75,3,False,3,78,13,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000f2,CCT Telecom Building,10,10+,95,1,False,1,96,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000a6,Shanghai Industrial Investment Building,10,10+,77,2,False,2,79,12,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000001a6,Hi-Tech Industrial Centre,10,10+,51,1,False,1,52,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000c3,Metropolis Plaza,10,10+,128,22,False,22,150,32,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000b9,Castello,10,10+,43,0,True,0,43,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000bc,Peninsula Tower,10,10+,77,6,False,6,83,16,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000109,Lai Bo Garden,10,10+,269,0,True,0,269,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000105,Eldo Court,10,10+,183,42,False,42,225,52,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000126,Victoria Centre,10,10+,95,3,False,3,98,13,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000101,Sai Kung Town Centre,10,10+,371,83,False,83,454,93,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000117,Hong Lai Gardens,10,10+,303,35,False,35,338,45,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000001c3,Wonderland Villas (Northern),10,10+,506,81,False,81,587,91,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000a4,Kwai Fong Terrace,10,10+,192,6,False,6,198,16,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000ae,Hilton Plaza,10,10+,319,26,False,26,345,36,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000019a,Tai Po Mega Mall Multi-Storey Car Park,10,10+,830,10,False,10,840,20,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000010b,Tsuen Wan Plaza,10,10+,260,0,True,0,260,10,2026-02-22T16:11:26Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000079,Eightland Gardens,9,9,85,6,False,6,91,15,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000006c,Bellagio,10,10+,155,0,True,0,155,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000dd,Grandway Garden,10,10+,154,39,False,39,193,49,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000de,Wai Wah Centre,10,10+,85,37,False,37,122,47,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000db,Austin Tower,10,10+,119,1,False,1,120,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000001a4,Brill Plaza,10,10+,36,0,True,0,36,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000c5,Thriving Industrial Centre,10,10+,37,4,False,4,41,14,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000199,Lucky Plaza,10,10+,637,22,False,22,659,32,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-00000000018d,909 Cheung Sha Wan Road,4,4,29,2,False,2,31,6,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000a7,Hong Kong Plaza,10,10+,156,13,False,13,169,23,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000b6,Wah Ming Centre,10,10+,71,1,False,1,72,11,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-000000000120,The Park Lane,10,10+,280,23,False,23,303,33,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000a9,Blossom Garden,10,10+,48,0,True,0,48,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000b2,Tsuen Kam Centre,10,10+,85,4,False,4,89,14,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000b3,Tsuen Wan Centre ,1,1,83,13,False,13,96,14,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000cc,Fanling Town Centre,10,10+,282,53,False,53,335,63,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000ac,HSBC Centre,10,10+,342,0,True,0,342,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000c9,New Tech Plaza,10,10+,85,0,True,0,85,10,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000cb,Evergreen Court,10,10+,349,15,False,15,364,25,2026-02-22T16:12:46Z
2026-02-23T00:13:55.155105+08:00,00000000-0000-0000-0000000000d0,Sheung Shui Town Centre,10,10+,174,62,False,62,236,72,2026-02-22T16:12:46Z
