scraped_at,carpark_id,name,guest_available,guest_available_display,guest_total,monthly_available,monthly_is_full,monthly_total,total,total_available,last_update
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000012a,,10,10+,152,1,False,1,153,11,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000d8,,10,10+,106,58,False,58,164,68,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000ff,,10,10+,137,6,False,6,143,16,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000119,,10,10+,120,30,False,30,150,40,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000103,,10,10+,511,31,False,31,542,41,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000f8,,10,10+,59,11,False,11,70,21,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000121,,10,10+,305,30,False,30,335,40,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000010a,,10,10+,133,12,False,12,145,22,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000007d,,10,10+,334,558,False,558,892,568,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000124,,10,10+,137,0,True,0,137,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000011d,,10,10+,108,15,False,15,123,25,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000102,,10,10+,270,19,False,19,289,29,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000118,,10,10+,857,24,False,24,881,34,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000011c,,10,10+,189,2,False,2,191,12,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000122,,10,10+,50,6,False,6,56,16,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000011e,,10,10+,316,9,False,9,325,19,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000dc,,10,10+,107,0,True,0,107,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000019e,,10,10+,22,0,True,0,22,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000196,,10,10+,52,6,False,6,58,16,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000f4,,10,10+,79,6,False,6,85,16,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000d7,,10,10+,215,4,False,4,219,14,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000019d,,10,10+,32,3,False,3,35,13,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000c2,,10,10+,170,0,True,0,170,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000129,,10,10+,320,0,True,0,320,10,2026-01-29T16:31:40Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000128,,10,10+,130,0,True,0,130,10,2026-01-29T16:31:31Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000127,,10,10+,180,0,True,0,180,10,2026-01-29T16:31:41Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000191,,10,10+,51,2,False,2,53,12,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000001b,,10,10+,114,1,False,1,115,11,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000c8,,10,10+,510,20,False,20,530,30,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000b4,,4,4,54,0,True,0,54,4,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000f5,,10,10+,75,1,False,1,76,11,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000f2,,10,10+,95,1,False,1,96,11,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000a6,,10,10+,77,3,False,3,80,13,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000001a6,,10,10+,51,1,False,1,52,11,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000c3,,10,10+,128,12,False,12,140,22,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000b9,,0,0,43,0,True,0,43,0,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000bc,,10,10+,77,2,False,2,79,12,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000109,,10,10+,269,0,True,0,269,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000105,,10,10+,183,36,False,36,219,46,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000126,,10,10+,95,7,False,7,102,17,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000101,,10,10+,371,83,False,83,454,93,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000117,,10,10+,303,34,False,34,337,44,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000001c3,,10,10+,506,94,False,94,600,104,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000a4,,10,10+,192,9,False,9,201,19,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000ae,,10,10+,319,28,False,28,347,38,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000019a,,10,10+,830,24,False,24,854,34,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000010b,,10,10+,260,0,True,0,260,10,2026-01-29T16:30:08Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-000000000079,,10,10+,85,0,True,0,85,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-00000000006c,,10,10+,155,0,True,0,155,10,2026-01-29T16:31:57Z
2026-01-30T00:32:52.522948+08:00,00000000-0000-0000-0000000000dd,,10,10+,154,30,False,30,184,40,2026-01-29T16:31:57Z
