scraped_at,park_id,name,district,private_car_vacancy,motorcycle_vacancy,lgv_vacancy,last_update,opening_status
2026-01-30T00:32:50.870772+08:00,27,Yau Lai Shopping Centre Carpark,Kwun Tong District,3,2,,2026-01-29 17:05:49,OPEN
2026-01-30T00:32:50.870772+08:00,30,Telford Plaza D Carpark,Kwun Tong District,57,,,2026-01-30 00:12:20,OPEN
2026-01-30T00:32:50.870772+08:00,31,Telford Plaza I Carpark,Kwun Tong District,167,,,2026-01-30 00:13:50,OPEN
2026-01-30T00:32:50.870772+08:00,32,Telford Plaza II Carpark,Kwun Tong District,91,,,2026-01-29 23:31:40,OPEN
2026-01-30T00:32:50.870772+08:00,38,Domain Carpark,Kwun Tong District,54,,,2026-01-29 21:04:38,OPEN
2026-01-30T00:32:50.870772+08:00,75,Landmark East Carpark,Kwun Tong District,51,,,2026-01-30 00:17:48,OPEN
2026-01-30T00:32:50.870772+08:00,77,Kingston International Center,Kwun Tong District,91,,,2026-01-29 23:30:30,OPEN
2026-01-30T00:32:50.870772+08:00,78,Stelux House,Wong Tai Sin District,14,,,2026-01-29 17:17:46,OPEN
2026-01-30T00:32:50.870772+08:00,81,Manulife Place,Kwun Tong District,78,3,5,2026-01-28 14:25:45,OPEN
2026-01-30T00:32:50.870772+08:00,88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong",Kwun Tong District,7,,16,2026-01-29 17:04:22,OPEN
2026-01-30T00:32:50.870772+08:00,93,Hong Ning Road Park Car Park,Kwun Tong District,1,,,2026-01-29 23:30:30,OPEN
2026-01-30T00:32:50.870772+08:00,100,Prosperity Place Car Park,Kwun Tong District,28,,,2026-01-30 00:03:20,OPEN
2026-01-30T00:32:50.870772+08:00,101,Prosperity Center Car Park,Kwun Tong District,64,,,2026-01-29 23:41:30,OPEN
2026-01-30T00:32:50.870772+08:00,102,Scramble Hill,Kwun Tong District,149,,,2026-01-29 22:22:40,OPEN
2026-01-30T00:32:50.870772+08:00,103,One Sky Parc (Wilson Parking),Kwun Tong District,41,,,2026-01-29 23:06:40,OPEN
2026-01-30T00:32:50.870772+08:00,104,AIRSIDE,Wong Tai Sin District,645,77,,2026-01-30 00:16:30,OPEN
2026-01-30T00:32:50.870772+08:00,117,Kai Ching Estate Car Park,Kowloon City District,20,,,2026-01-30 00:08:50,OPEN
2026-01-30T00:32:50.870772+08:00,118,Tak Long Estate Carpark A,Kowloon City District,27,,,2026-01-30 00:03:20,OPEN
2026-01-30T00:32:50.870772+08:00,119,Tak Long Estate Carpark B,Kowloon City District,3,,,2026-01-29 16:04:10,OPEN
2026-01-30T00:32:50.870772+08:00,123,KTR350 Car Park,Kwun Tong District,74,,,2026-01-30 00:04:50,OPEN
2026-01-30T00:32:50.870772+08:00,124,Stadium Carpark,Kowloon City District,275,34,,2026-01-30 00:02:40,OPEN
2026-01-30T00:32:50.870772+08:00,125,Arena Carpark,Kowloon City District,209,9,,2026-01-30 00:14:21,OPEN
2026-01-30T00:32:50.870772+08:00,128,The Burrow (Wilson Parking),Wong Tai Sin District,28,,,2026-01-30 00:02:40,OPEN
2026-01-30T00:32:50.870772+08:00,tdc166p1,Phase 1 Carpark of Tin Ching Estate,Yuen Long,-1,,,2026-01-30 00:31:02,CLOSED
2026-01-30T00:32:50.870772+08:00,tdc6p11,Cheung Shan Estate Carpark,Tsuen Wan,-1,,,2026-01-30 00:31:03,OPEN
2026-01-30T00:32:50.870772+08:00,tdc245p1,Hong Wah Court Car Park,Kwun Tong,-1,,,2026-01-30 00:31:03,CLOSED
